cod_ibge;municipio;ARTESANAL;INDUSTRIAL;Pescadores;area_influencia;Quilombos;localidades_indigenas
2908101;Cocos;5;;5;;1;1
2930204;Sento Sé;9022;;9022;;2;1
2900801;Alcobaça;1244;4;1248;;3;1
2928406;Santa Rita de Cássia;530;;530;;3;1
2921500;Monte Santo;21;;21;;4;1
2903201;Barreiras;831;;831;;5;1
2913200;Ibotirama;7141;;7141;;5;1
2903409;Belmonte;859;;859;;0;1
2909406;Cotegipe;707;;707;;0;1
2910727;Eunápolis;13;;13;;0;1
2916302;Itapebi;21;;21;;0;1
2930774;Sobradinho;1256;;1256;;0;1
2910503;Entre Rios;117;;117;;14;1
2929909;Seabra;1;;1;;19;1
2905701;Camaçari;389;1;390;AII;3;2
2930154;Serra do Ramalho;3463;;3463;;18;2
2905602;Camacan;9;;9;;0;2
2915403;Itaju do Colônia;1;;1;;0;2
2924009;Paulo Afonso;206;;206;;0;2
2905800;Camamu;1343;;1343;AII;29;2
2909109;Coribe;18;;18;;0;3
2932507;Una;226;;226;;0;4
2922250;Muquém do São Francisco;1743;;1743;;7;4
2926657;Ribeirão do Largo;1;;1;;3;5
2915601;Itamaraju;154;;154;;0;6
2927101;Rodelas;1009;;1009;;1;8
2923902;Pau Brasil;10;;10;;0;13
2910701;Euclides da Cunha;1;;1;;1;14
2909901;Curaçá;1158;;1158;;7;15
2911402;Glória;309;;309;;0;17
2902658;Banzaê;1;;1;;4;20
2900207;Abaré;232;;232;;3;24
2925501;Prado;1258;1;1259;;0;25
2927705;Santa Cruz Cabrália;400;;400;;0;30
2913606;Ilhéus;1695;3;1698;;1;57
2925303;Porto Seguro;381;;381;;0;67
2901106;Amélia Rodrigues;12;;12;;1;0
2901601;Antas;2;;2;;1;0
2902401;Aurelino Leal;175;;175;;1;0
2907509;Catu;7;;7;;1;0
2907806;Cícero Dantas;4;;4;;1;0
2908408;Conceição do Coité;2;;2;;1;0
2909307;Correntina;100;;100;;1;0
2910404;Encruzilhada;1;;1;;1;0
2911204;Gandu;11;;11;AII;1;0
2911600;Governador Mangabeira;14;;14;AII;1;0
2912202;Ibicoara;2;;2;;1;0
2912509;Ibipitanga;2;;2;;1;0
2914000;Ipirá;2;;2;;1;0
2915809;Itambé;11;;11;;1;0
2915908;Itanagra;3;;3;;1;0
2916500;Itapicuru;1;;1;;1;0
2916856;Itatim;2;;2;;1;0
2917003;Itiúba;1427;;1427;;1;0
2918803;Laje;3;;3;AII;1;0
2919058;Lajedo do Tabocal;2;;2;;1;0
2919553;Luís Eduardo Magalhães;118;;118;;1;0
2919801;Macaúbas;7;;7;;1;0
2920304;Malhada de Pedras;1;;1;;1;0
2922003;Mucuri;370;2;372;;1;0
2922102;Mundo Novo;5;;5;;1;0
2922755;Nova Ibiá;1;;1;;1;0
2923035;Novo Horizonte;3;;3;;1;0
2923803;Paripiranga;1;;1;;1;0
2926004;Remanso;2221;;2221;;1;0
2926301;Riachão do Jacuípe;118;;118;;1;0
2926608;Ribeira do Pombal;1;;1;;1;0
2927002;Rio Real;5;;5;;1;0
2927309;Salinas da Margarida;6653;;6653;AID;1;0
2928703;Santo Antônio de Jesus;69;;69;AID;1;0
2929057;São Félix do Coribe;56;;56;;1;0
2929305;São Gonçalo dos Campos;5;;5;;1;0
2929701;Sátiro Dias;2;;2;;1;0
2931400;Teodoro Sampaio;2;;2;;1;0
2931707;Terra Nova;3;;3;;1;0
2932457;Umburanas;2;;2;;1;0
2904209;Botuporã;1;;1;;2;0
2905503;Caldeirão Grande;2;;2;;2;0
2909802;Cruz das Almas;16;;16;AII;2;0
2910750;Fátima;1;;1;;2;0
2911105;Formosa do Rio Preto;340;;340;;2;0
2912806;Ibirapuã;2;;2;;2;0
2915700;Itamari;3;;3;;2;0
2918506;Jussara;11;;11;;2;0
2921005;Mata de São João;27;;27;;2;0
2922706;Nova Canaã;1;;1;;2;0
2924207;Pedro Alexandre;1;;1;;2;0
2924405;Pilão Arcado;4000;;4000;;2;0
2926103;Retirolândia;1;;1;;2;0
2929800;Saúde;6;;6;;2;0
2931905;Tucano;2;;2;;2;0
2932002;Uauá;1;;1;;2;0
2932606;Urandi;4;;4;;2;0
2933208;Vera Cruz;6822;;6822;ADA;2;0
2900405;Água Fria;3;;3;;3;0
2902807;Barra da Estiva;2;;2;;3;0
2903607;Biritinga;1;;1;;3;0
2906600;Candiba;3;;3;;3;0
2907202;Casa Nova;7209;;7209;;3;0
2916104;Itaparica;3745;;3745;ADA;3;0
2917607;Jaguaquara;3;;3;;3;0
2917904;Jandaíra;843;;843;;3;0
2922607;Nilo Peçanha;1652;;1652;AII;3;0
2924504;Pindaí;3;;3;;3;0
2927507;Santa Bárbara;4;;4;;3;0
2930766;Sítio do Quinto;6;;6;;3;0
2931004;Tanhaçu;1;;1;;3;0
2931350;Teixeira de Freitas;70;;70;;3;0
2931608;Teolândia;7;;7;AII;3;0
2901304;Andaraí;9;;9;;4;0
2906501;Candeias;1423;;1423;AII;4;0
2908903;Coração de Maria;4;;4;;4;0
2911709;Guanambi;142;;142;;4;0
2921203;Miguel Calmon;1;;1;;4;0
2925105;Poções;1;;1;;4;0
2925253;Ponto Novo;22;;22;;4;0
2925758;Presidente Tancredo Neves;11;;11;AII;4;0
2928109;Santa Maria da Vitória;704;;704;;4;0
2929503;São Sebastião do Passé;21;;21;AII;4;0
2930501;Serrinha;9;;9;;4;0
2930600;Serrolândia;3;;3;;4;0
2931806;Tremedal;15;;15;;4;0
2906873;Capim Grosso;1;;1;;5;0
2906907;Caravelas;1018;1;1019;;5;0
2915007;Itaeté;22;;22;;5;0
2917201;Ituaçu;1;;1;;5;0
2918001;Jequié;91;;91;;5;0
2920452;Mansidão;95;;95;;5;0
2923001;Nova Viçosa;888;;888;;5;0
2925931;Quixabeira;2;;2;;5;0
2900108;Abaíra;1;;1;;6;0
2904753;Buritirama;12;;12;;6;0
2905107;Caém;1;;1;;6;0
2922300;Muritiba;16;;16;AII;6;0
2932408;Uibaí;1;;1;;6;0
2910602;Esplanada;22;;22;;7;0
2915353;Itaguaçu da Bahia;102;;102;;7;0
2901205;Anagé;1;;1;;8;0
2905305;Cafarnaum;1;;1;;8;0
2906808;Cansanção;736;;736;;8;0
2913457;Igrapiúna;867;;867;AII;8;0
2919207;Lauro de Freitas;107;;107;AID;8;0
2924603;Pindobaçu;104;;104;;8;0
2911303;Gentio do Ouro;36;;36;;9;0
2929008;São Félix;179;;179;AII;9;0
2914604;Irecê;13;;13;;10;0
2933505;Wenceslau Guimarães;5;;5;AII;10;0
2918407;Juazeiro;3780;;3780;;11;0
2923308;Ouriçangas;1;;1;;11;0
2903003;Barra do Mendes;1;;1;;12;0
2903235;Barro Alto;1;;1;;12;0
2914505;Irará;1;;1;;13;0
2921708;Morro do Chapéu;1;;1;;15;0
2907608;Central;8;;8;;16;0
2900702;Alagoinhas;18;;18;;17;0
2929255;São Gabriel;4;;4;;17;0
2912400;Ibipeba;1;;1;;18;0
2913101;Ibititá;2;;2;;18;0
2906204;Canarana;1;;1;;19;0
2922656;Nordestina;4;;4;;19;0
2908606;Conde;831;;831;;20;0
2928307;Santanópolis;3;;3;;20;0
2901700;Antônio Cardoso;5;;5;;21;0
2910800;Feira de Santana;165;;165;;21;0
2932903;Valença;4919;1;4920;AII;22;0
2918100;Jeremoabo;22;;22;;23;0
2919157;Lapão;1;;1;;24;0
2919504;Livramento de Nossa Senhora;16;;16;;24;0
2917508;Jacobina;9;;9;;26;0
2923407;Palmas de Monte Alto;50;;50;;26;0
2923704;Paratinga;5091;;5091;;28;0
2920700;Maraú;943;;943;;29;0
2906006;Campo Formoso;6;;6;;44;0
2900306;Acajutiba;4;;4;;0;0
2900355;Adustina;215;;215;;0;0
2900900;Almadina;1;;1;;0;0
2901007;Amargosa;6;;6;;0;0
2901353;Andorinha;34;;34;;0;0
2901403;Angical;142;;142;;0;0
2901908;Aporá;1;;1;;0;0
2901957;Apuarema;1;;1;;0;0
2902104;Araci;248;;248;;0;0
2902252;Arataca;1;;1;;0;0
2902302;Aratuípe;749;;749;AID;0;0
2902500;Baianópolis;6;;6;;0;0
2902609;Baixa Grande;2;;2;;0;0
2902906;Barra do Choça;1;;1;;0;0
2903300;Barro Preto;95;;95;;0;0
2903276;Barrocas;1;;1;;0;0
2904100;Boquira;8;;8;;0;0
2904308;Brejões;1;;1;;0;0
2904407;Brejolândia;5;;5;;0;0
2904605;Brumado;5;;5;;0;0
2904852;Cabaceiras do Paraguaçu;143;;143;AII;0;0
2905008;Caculé;1;;1;;0;0
2905909;Campo Alegre de Lourdes;2;;2;;0;0
2906105;Canápolis;1;;1;;0;0
2906303;Canavieiras;1923;;1923;;0;0
2906402;Candeal;3;;3;;0;0
2906709;Cândido Sales;12;;12;;0;0
2906824;Canudos;156;;156;;0;0
2906899;Caraíbas;4;;4;;0;0
2907301;Castro Alves;21;;21;AID;0;0
2907400;Catolândia;3;;3;;0;0
2907558;Caturama;1;;1;;0;0
2907707;Chorrochó;439;;439;;0;0
2908002;Coaraci;2;;2;;0;0
2908200;Conceição da Feira;15;;15;;0;0
2908507;Conceição do Jacuípe;9;;9;;0;0
2909703;Cristópolis;13;;13;;0;0
2910008;Dário Meira;13;;13;;0;0
2910057;Dias dÁvila;29;;29;AII;0;0
2910206;Dom Macedo Costa;2;;2;AID;0;0
2910305;Elísio Medrado;1;;1;;0;0
2910776;Feira da Mata;62;;62;;0;0
2910909;Firmino Alves;1;;1;;0;0
2911006;Floresta Azul;4;;4;;0;0
2911253;Gavião;46;;46;;0;0
2911501;Gongogi;30;;30;;0;0
2911808;Guaratinga;2;;2;;0;0
2911907;Iaçu;3;;3;;0;0
2912103;Ibicaraí;1;;1;;0;0
2912301;Ibicuí;1;;1;;0;0
2912707;Ibirapitanga;3;;3;AII;0;0
2912905;Ibirataia;4;;4;;0;0
2913705;Inhambupe;1;;1;;0;0
2913804;Ipecaetá;1;;1;;0;0
2913903;Ipiaú;5;;5;;0;0
2914109;Ipupiara;1;;1;;0;0
2914307;Iramaia;2;;2;;0;0
2914653;Itabela;15;;15;;0;0
2914703;Itaberaba;36;;36;;0;0
2914802;Itabuna;33;;33;;0;0
2915106;Itagi;1;;1;;0;0
2915502;Itajuípe;4;;4;;0;0
2916203;Itapé;10;;10;;0;0
2916401;Itapetinga;6;;6;;0;0
2916609;Itapitanga;2;;2;;0;0
2916708;Itaquara;1;;1;;0;0
2916807;Itarantim;1;;1;;0;0
2916906;Itiruçu;2;;2;;0;0
2917359;Jaborandi;14;;14;;0;0
2917706;Jaguarari;10;;10;;0;0
2917805;Jaguaripe;2137;;2137;AID;0;0
2918308;Jitaúna;20;;20;;0;0
2918456;Jucuruçu;1;;1;;0;0
2918555;Jussari;3;;3;;0;0
2919603;Macajuba;2;;2;;0;0
2919702;Macarani;1;;1;;0;0
2919900;Macururé;9;;9;;0;0
2919926;Madre de Deus;2128;;2128;AII;0;0
2920403;Manoel Vitorino;34;;34;;0;0
2920502;Maracás;54;;54;;0;0
2920809;Marcionílio Souza;2;;2;;0;0
2920908;Mascote;103;;103;;0;0
2921054;Matina;1;;1;;0;0
2921104;Medeiros Neto;57;;57;;0;0
2921609;Morpará;1658;;1658;;0;0
2922201;Muniz Ferreira;263;;263;AID;0;0
2922409;Mutuípe;3;;3;;0;0
2922805;Nova Itarana;1;;1;;0;0
2922854;Nova Redenção;1;;1;;0;0
2923100;Olindina;1;;1;;0;0
2923209;Oliveira dos Brejinhos;21;;21;;0;0
2923357;Ourolândia;1;;1;;0;0
2924058;Pé de Serra;1;;1;;0;0
2924678;Piraí do Norte;3;;3;AII;0;0
2924801;Piritiba;1;;1;;0;0
2925204;Pojuca;8;;8;;0;0
2925808;Queimadas;4;;4;;0;0
2925956;Rafael Jambeiro;1;;1;;0;0
2926202;Riachão das Neves;685;;685;;0;0
2926905;Rio do Pires;1;;1;;0;0
2927606;Santa Brígida;2;;2;;0;0
2927903;Santa Inês;3;;3;;0;0
2928059;Santa Luzia;17;;17;;0;0
2928000;Santaluz;6;;6;;0;0
2928208;Santana;26;;26;;0;0
2928802;Santo Estêvão;39;;39;;0;0
2928901;São Desidério;573;;573;;0;0
2929107;São Felipe;7;;7;AII;0;0
2929370;São José do Jacuípe;3;;3;;0;0
2929404;São Miguel das Matas;1;;1;AII;0;0
2929602;Sapeaçu;4;;4;AID;0;0
2929750;Saubara;4266;;4266;AII;0;0
2930006;Sebastião Laranjeiras;2;;2;;0;0
2930303;Serra Dourada;26;;26;;0;0
2930402;Serra Preta;1;;1;;0;0
2931103;Tanquinho;2;;2;;0;0
2931509;Teofilândia;1;;1;;0;0
2932200;Ubaitaba;327;;327;;0;0
2932309;Ubatã;17;;17;;0;0
2932705;Uruçuca;38;;38;;0;0
2933059;Várzea da Roça;13;;13;;0;0
2933174;Varzedo;0;0;0;AID;0;0
2908309;Conceição do Almeida;0;0;0;AID;0;0
2922508;Nazaré;3904;;3904;AID;2;0
2933604;Xique-Xique;6988;;6988;;17;0
2917300;Ituberá;1439;;1439;AII;11;0
2916005;Itanhém;1;;1;;1;0
2919306;Lençóis;3;;3;;4;0
2905404;Cairu;2387;;2387;AII;15;0
2933307;Vitória da Conquista;10;;10;;50;0
2933455;Wanderley;408;;408;;4;0
2914901;Itacaré;322;;322;;11;0
2926707;Rio de Contas;44;;44;;15;0
2910859;Filadélfia;13;;13;;44;0
2902708;Barra;4981;;4981;;13;0
2930709;Simões Filho;184;1;185;AID;10;0
2931202;Taperoá;1728;;1728;AII;14;0
2926400;Riacho de Santana;102;;102;;21;0
2930758;Sítio do Mato;3690;;3690;;3;0
2907103;Carinhanha;2714;;2714;;4;0
2928604;Santo Amaro;5824;;5824;AII;7;0
2927408;Salvador;8935;;8935;ADA;41;0
2920601;Maragogipe;6167;;6167;AII;27;0
2904902;Cachoeira;2370;;2370;AII;27;0
2920205;Malhada;1439;;1439;;5;0
2930105;Senhor do Bonfim;114;;114;;41;0
2903904;Bom Jesus da Lapa;7499;;7499;;44;0
2929206;São Francisco do Conde;3699;;3699;AII;4;0
2905206;Caetité;5;;5;;21;0
2917334;Iuiu;4;;4;;0;0
